ZTF18aaiykoz 0.03043089 239.497841 40.033895
filter ztfg
59060.257 17.664 0.022 
59060.259 17.588 0.020 
59061.203 17.770 0.025 
59061.204 17.710 0.022 
59061.212 17.733 0.023 
59061.232 17.711 0.021 
59062.254 17.842 0.028 
59062.255 17.737 0.022 
59062.275 17.789 0.029 
59062.283 17.833 0.031 
59063.207 17.839 0.027 
59063.208 17.839 0.024 
59063.213 17.893 0.028 
59063.214 17.803 0.027 
59064.236 17.893 0.037 
59064.237 17.945 0.029 
59064.252 17.900 0.033 
59064.256 17.890 0.031 
59065.276 18.003 0.036 
59065.283 18.215 0.057 
59065.295 17.926 0.050 
59065.302 18.008 0.055 
59066.254 18.128 0.030 
59066.264 18.079 0.031 
59066.285 18.097 0.033 
59066.288 17.992 0.033 
59067.233 18.098 0.031 
59067.237 18.099 0.027 
59067.259 18.106 0.032 
59067.260 18.055 0.027 
59068.279 18.102 0.030 
59068.289 18.166 0.034 
59068.297 18.180 0.043 
59068.299 18.171 0.035 
59069.256 18.174 0.032 
59069.265 18.200 0.028 
59069.283 18.218 0.032 
59069.286 18.213 0.029 
59070.266 18.241 0.030 
59070.268 18.228 0.035 
59070.283 18.272 0.039 
59070.285 18.254 0.035 
59071.275 18.306 0.038 
59071.276 18.214 0.034 
59071.294 18.294 0.037 
59071.296 18.407 0.046 
59072.261 18.448 0.037 
59072.265 18.279 0.028 
59072.294 18.281 0.035 
59072.303 18.373 0.038 
59073.161 18.382 0.033 
59073.259 18.343 0.036 
59073.259 18.363 0.034 
59073.279 18.365 0.038 
59075.262 18.406 0.041 
59075.280 18.453 0.041 
59076.214 18.331 0.031 
59076.223 18.520 0.041 
59077.183 18.576 0.038 
59077.184 18.512 0.036 
59077.192 18.433 0.035 
59078.238 18.482 0.042 
59078.246 18.499 0.042 
59078.260 18.575 0.050 
59078.264 18.499 0.042 
59079.239 18.488 0.035 
59079.249 18.641 0.052 
59079.257 18.674 0.047 
59079.258 18.604 0.042 
59080.235 18.592 0.059 
59080.237 18.654 0.054 
59080.260 18.575 0.053 
59080.261 18.580 0.050 
59081.258 18.567 0.054 
59081.268 18.573 0.069 
59081.287 18.654 0.074 
59081.287 18.614 0.064 
59082.222 18.859 0.068 
59082.226 18.654 0.049 
59082.240 18.801 0.065 
59082.243 18.713 0.050 
59084.218 18.642 0.074 
59084.220 18.567 0.083 
59084.245 18.648 0.051 
59085.162 18.889 0.077 
59085.280 18.840 0.062 
59085.283 18.763 0.068 
59085.294 18.854 0.070 
59086.214 18.690 0.051 
59086.220 18.842 0.060 
59086.232 18.735 0.054 
59086.236 18.876 0.065 
59087.202 18.695 0.065 
59087.212 18.849 0.074 
59087.213 18.907 0.068 
59088.193 18.795 0.065 
59088.197 18.926 0.077 
59088.212 18.938 0.087 
59088.215 19.042 0.081 
59089.155 19.129 0.100 
59089.156 18.949 0.091 
59089.193 18.802 0.080 
59089.193 18.852 0.067 
59090.193 18.945 0.080 
59090.194 18.874 0.068 
59090.220 19.011 0.078 
59090.220 18.819 0.076 
59091.138 18.903 0.066 
59091.139 18.908 0.064 
59091.153 18.950 0.058 
59091.170 19.101 0.084 
59092.161 18.947 0.066 
59092.167 18.919 0.070 
59092.171 18.835 0.061 
59092.174 19.191 0.082 
59093.246 19.209 0.126 
59093.250 19.195 0.142 
59093.264 18.872 0.119 
59093.266 19.278 0.181 
59094.237 18.899 0.108 
59094.238 19.060 0.115 
59094.266 19.181 0.139 
59094.267 19.007 0.159 
